Id,Use Case,Use Case_ENC,Status,Created Date,Close Date,Price,Discount code,Pain,Pain_ENC,Loss Reason,Loss Reason_ENC,First Name,Source,Source_ENC,Status_leads,Status_leads_ENC,Discarded/Nurturing Reason,Discarded/Nurturing Reason_ENC,Acquisition Campaign,Converted,Converted_ENC,City,City_ENC,Has discount,Has discount_ENC,Days in process
o3mh2glp,Corporate Events,1.0,Demo 1,2019-11-11,2020-01-26,240.0,MONTH50REBATE,operations,1.0,,4.0,Reese18 White17,Inbound,0.0,Qualified,4.0,,5.0,,Yes,1.0,,2.0,True,1.0,76.0
9i1sfcw2,Corporate Events,1.0,Closed Won,2019-11-13,2019-07-07,240.0,MONTH50REBATE,operations,1.0,,4.0,,,0.0,,4.0,,5.0,,,1.0,,2.0,True,1.0,-129.0
rdq3yd3z,Corporate Events,1.0,Closed Won,2019-11-09,2019-11-10,300.0,MONTH50CUTBACK,operations,1.0,,4.0,,,0.0,,4.0,,5.0,,,1.0,,2.0,True,1.0,1.0
plc6ykua,Corporate Events,1.0,Closed Won,2019-11-16,2019-11-16,360.0,SAVE25LESS,operations,1.0,,1.0,Harper11 Miller3,Inbound,0.0,Qualified,4.0,,6.0,VirtualMeetups,Yes,1.0,San Francisco,16.0,True,1.0,0.0
3n4vaopa,Corporate Events,1.0,Closed Lost,2019-11-16,2019-11-25,360.0,MONTHSAVE25DEAL,quality of delivery,2.0,no response,4.0,Frankie13 Brown15,Inbound,0.0,Qualified,4.0,No show,2.0,EducationExpo,Yes,1.0,,2.0,True,1.0,9.0
heil7stb,Educational Seminars,2.0,Closed Won,2019-11-16,2019-11-16,120.0,NOCOSTREG,financial control,0.0,,4.0,,,0.0,,4.0,,5.0,,,1.0,,16.0,True,1.0,0.0
njljf14m,Corporate Events,1.0,Closed Won,2019-11-16,2019-11-16,240.0,MONTH50REBATE,,1.0,,4.0,,,0.0,,4.0,,5.0,,,1.0,,2.0,True,1.0,0.0
kjisr59o,Corporate Events,1.0,Closed Won,2019-11-16,2019-11-17,360.0,MONTHSAVE25DEAL,financial control,0.0,,4.0,Charlie14 Harris11,Inbound,0.0,Qualified,4.0,,4.0,VirtualMeetups,Yes,1.0,Chicago,2.0,True,1.0,1.0
f071ur84,Corporate Events,1.0,Closed Won,2019-11-17,2019-11-17,768.0,2SEMESTERS20OFF,operations,1.0,,1.0,Harper12 Martinez1,Outbound,1.0,Qualified,4.0,Duplicate/Test,1.0,VirtualMeetups,Yes,1.0,Fort Worth,6.0,True,1.0,0.0
8ezl9b9h,Educational Seminars,2.0,Closed Lost,2019-11-11,2019-11-24,500.0,,quality of delivery,2.0,price,7.0,Avery17 Harris8,Outbound,1.0,Qualified,4.0,,2.0,Branding book,Yes,1.0,Seattle,18.0,False,0.0,13.0
uslx2c8c,Corporate Events,1.0,Closed Lost,2019-11-17,2019-11-18,360.0,MONTHSAVE25DEAL,financial control,0.0,lost to competitor,0.0,Harper12 White11,Outbound,1.0,Qualified,4.0,,4.0,VirtualMeetups,Yes,1.0,Charlotte,1.0,True,1.0,1.0
gggo1zge,Corporate Events,1.0,Demo 1,2019-11-19,2020-01-26,1306.6141540601634,,,1.0,,4.0,Riley16 Miller5,Outbound,1.0,Qualified,4.0,,4.0,,Yes,1.0,,16.0,False,0.0,68.0
,Educational Seminars,2.0,Closed Lost,2019-07-06,2019-07-06,334.0,,operations,1.0,lost to competitor,0.0,,,1.0,,4.0,,4.0,,,1.0,,16.0,False,0.0,0.0
oi8pyr0x,Corporate Events,1.0,Closed Won,2019-08-06,2019-08-06,600.0,,,2.0,,4.0,Casey17 Johnson16,Inbound,0.0,Qualified,4.0,,2.0,VirtualMeetups,Yes,1.0,San Diego,15.0,False,0.0,0.0
b65b1g3z,Corporate Events,1.0,Closed Won,2019-12-18,2019-12-18,960.0,ANNUAL60DEAL,operations,1.0,,4.0,,,0.0,,4.0,,5.0,,,1.0,,2.0,True,1.0,0.0
yhc6yuwu,Sports Events,3.0,Closed Won,2019-09-06,2019-10-06,768.0,HALFYEAR20G,quality of delivery,2.0,,4.0,Alex6 Jackson19,Outbound,1.0,Qualified,4.0,,2.0,EducationExpo 2,Yes,1.0,,17.0,True,1.0,30.0
c1n3we27,Sports Events,3.0,Demo 1,2019-10-06,2020-01-26,1306.6141540601634,,operations,1.0,,4.0,Skyler18 Johnson13,Inbound,0.0,Qualified,4.0,,5.0,EducationExpo 2,Yes,1.0,,2.0,False,0.0,112.0
,Wedding Planning,4.0,Closed Lost,2019-11-10,2020-09-26,1306.6141540601634,,,1.0,no response,4.0,,,0.0,,4.0,,5.0,,,1.0,,2.0,False,0.0,321.0
kvt2gj12,Corporate Events,1.0,Closed Won,2019-11-10,2019-11-23,360.0,MONTHSAVE25DEAL,,1.0,,4.0,Skyler8 Taylor14,Outbound,1.0,Qualified,4.0,,4.0,VirtualMeetups,Yes,1.0,Chicago,2.0,True,1.0,13.0
,Sports Events,3.0,Demo 1,2019-11-11,2020-01-26,1306.6141540601634,,operations,1.0,,4.0,,,0.0,,4.0,,5.0,,,1.0,,2.0,False,0.0,76.0
jck55wbd,Educational Seminars,2.0,Demo 1,2019-11-11,2020-01-26,450.0,QUARTERSAVE25,financial control,0.0,,4.0,Casey11 Johnson12,Inbound,0.0,Qualified,4.0,,5.0,,Yes,1.0,,16.0,True,1.0,76.0
h493pfxh,Educational Seminars,2.0,Closed Lost,2019-11-18,2019-11-18,360.0,25GIFT,financial control,0.0,no product fit,3.0,Devon17 Robinson12,Outbound,1.0,Qualified,4.0,,4.0,Event Management Guide,Yes,1.0,,4.0,True,1.0,0.0
0wymszvw,Sports Events,3.0,Closed Won,2019-09-06,2019-09-06,120.0,GIVEAWAYFREE,,1.0,,4.0,,,0.0,,4.0,,5.0,,,1.0,,2.0,True,1.0,0.0
e3gleq5r,Corporate Events,1.0,Demo 1,2019-12-24,2020-01-26,1306.6141540601634,,quality of delivery,2.0,,3.0,Skyler10 Jones15,Outbound,1.0,Qualified,4.0,,2.0,VirtualMeetups,Yes,1.0,Los Angeles,10.0,False,0.0,33.0
68z2e14h,Corporate Events,1.0,Closed Won,2019-08-06,2019-09-06,1344.0,YEARLY30PROMO,operations,1.0,,4.0,Devon6 Moore7,Outbound,1.0,Qualified,4.0,,4.0,,Yes,1.0,,2.0,True,1.0,31.0
zcvegu22,Sports Events,3.0,Closed Won,2020-03-27,2020-03-27,960.0,YEARLY60,,1.0,,4.0,,,0.0,,4.0,,5.0,,,1.0,,2.0,True,1.0,0.0
afivu0ad,Corporate Events,1.0,Closed Won,2019-11-18,2019-02-07,120.0,3QUARTERS75CUT,operations,1.0,,1.0,Casey14 Moore7,Inbound,0.0,Qualified,4.0,,6.0,VirtualMeetups,Yes,1.0,San Francisco,16.0,True,1.0,-284.0
,Wedding Planning,4.0,Closed Lost,2019-11-09,2019-11-09,1306.6141540601634,,,1.0,no response,4.0,,,0.0,,4.0,,5.0,,,1.0,,2.0,False,0.0,0.0
osgn4234,Educational Seminars,2.0,Negotiation,2020-04-26,2020-04-26,768.0,HALFYEAR20G,,1.0,,4.0,Taylor3 Taylor12,Outbound,1.0,Qualified,4.0,,4.0,Corporate Connect,Yes,1.0,Chicago,2.0,True,1.0,0.0
tkoghufn,Corporate Events,1.0,Closed Won,2019-08-06,2019-08-06,1008.0,RENEW30YEARLY,operations,1.0,,4.0,,,0.0,,4.0,,5.0,,,1.0,,2.0,True,1.0,0.0
javll9xi,Corporate Events,1.0,Checkbox,2019-12-21,2019-12-21,300.0,MONTH50CUTBACK,,1.0,,4.0,,,0.0,,4.0,,5.0,,,1.0,,2.0,True,1.0,0.0
mhtrpofn,Corporate Events,1.0,Closed Lost,2019-11-10,2019-11-10,240.0,DISCOUNT50POWER,financial control,0.0,no product fit,3.0,Jordan8 Moore11,Outbound,1.0,Qualified,4.0,,5.0,VirtualMeetups,Yes,1.0,San Francisco,16.0,True,1.0,0.0
zly6yc6x,Educational Seminars,2.0,Closed Lost,2019-11-19,2019-11-25,1344.0,ANNUAL30BONUS,quality of delivery,2.0,no response,4.0,Morgan6 Brown17,Outbound,1.0,Qualified,4.0,,2.0,Digital kit,Yes,1.0,,2.0,True,1.0,6.0
,Corporate Events,1.0,Closed Lost,2019-11-24,2019-11-25,0.0,,financial control,0.0,no response,4.0,,,0.0,,4.0,,4.0,,,1.0,,2.0,False,0.0,1.0
kjhvaa7o,Educational Seminars,2.0,Closed Lost,2019-11-19,2019-11-25,240.0,MONTH50REBATE,operations,1.0,no response,4.0,Rowan13 Thompson8,Inbound,0.0,Qualified,4.0,,5.0,,Yes,1.0,Denver,5.0,True,1.0,6.0
bi10s29x,Sports Events,3.0,Negotiation,2020-08-27,2020-08-27,960.0,YEARLY60,,1.0,,4.0,Taylor3 Davis12,Inbound,0.0,Qualified,4.0,,5.0,,Yes,1.0,Chicago,2.0,True,1.0,0.0
dwjfamjd,Corporate Events,1.0,Closed Won,2019-01-07,2019-01-07,768.0,2SEMESTERS20OFF,financial control,0.0,,4.0,Bailey13 Taylor5,Inbound,0.0,Qualified,4.0,,4.0,Branding book,Yes,1.0,,2.0,True,1.0,0.0
,Educational Seminars,2.0,Closed Lost,2019-12-11,2019-12-16,200.0,,time saving,3.0,lost to competitor,0.0,,,0.0,,4.0,,2.0,,,1.0,,2.0,False,0.0,5.0
w9ufwx5o,Educational Seminars,2.0,Closed Won,2019-12-14,2019-12-18,300.0,SAVEMORE50,operations,1.0,,4.0,,,0.0,,4.0,,5.0,,,1.0,,2.0,True,1.0,4.0
6mrt4tlu,Corporate Events,1.0,Closed Won,2019-12-22,2019-12-22,1344.0,YEARLY30PROMO,,1.0,,4.0,,,0.0,,4.0,,5.0,,,1.0,,2.0,True,1.0,0.0
xhkfife6,Corporate Events,1.0,Closed Won,2019-11-17,2019-11-17,360.0,MONTHSAVE25DEAL,operations,1.0,,0.0,Quinn19 Brown8,Outbound,1.0,Qualified,4.0,,1.0,VirtualMeetups,Yes,1.0,Philadelphia,12.0,True,1.0,0.0
y8p7i6cq,Educational Seminars,2.0,Demo 1,2019-08-06,2020-01-26,1306.6141540601634,,quality of delivery,2.0,,4.0,Alex3 Davis18,Outbound,1.0,Qualified,4.0,,2.0,,Yes,1.0,,1.0,False,0.0,173.0
p67jkcab,Corporate Events,1.0,Closed Won,2019-12-15,2019-12-16,1344.0,YEARLY30PROMO,operations,1.0,,4.0,Drew11 Jones19,Inbound,0.0,Qualified,4.0,,5.0,VirtualMeetups,Yes,1.0,San Diego,15.0,True,1.0,1.0
51ifjt3f,Corporate Events,1.0,Closed Won,2019-12-17,2019-12-17,360.0,MONTHSAVE25DEAL,operations,1.0,,4.0,,,0.0,,4.0,,5.0,,,1.0,,2.0,True,1.0,0.0
9znb8r95,Corporate Events,1.0,Closed Won,2019-12-24,2019-12-24,1344.0,YEARLY30PROMO,quality of delivery,2.0,,4.0,,,0.0,,4.0,,2.0,,,1.0,,2.0,True,1.0,0.0
c066aytf,Educational Seminars,2.0,Closed Won,2019-12-25,2019-12-25,324.0,SLASH10,operations,1.0,,1.0,Bailey16 Williams5,Inbound,0.0,Qualified,4.0,,6.0,EducationExpo 3,Yes,1.0,San Francisco,16.0,True,1.0,0.0
b0xkfuj2,Corporate Events,1.0,Closed Lost,2020-02-25,2020-10-27,768.0,2SEMESTERS20OFF,operations,1.0,no response,4.0,Jamie19 Thomas10,Outbound,1.0,Qualified,4.0,,5.0,Stu Campaign,Yes,1.0,Phoenix,13.0,True,1.0,245.0
exut3bnp,Corporate Events,1.0,Closed Won,2019-11-20,2019-11-23,576.0,2SEMESTERS20SALE,operations,1.0,,4.0,Reese3 Robinson15,Outbound,1.0,Qualified,4.0,,4.0,VirtualMeetups,Yes,1.0,,2.0,True,1.0,3.0
i7f6btlu,Corporate Events,1.0,Closed Won,2019-12-23,2019-12-23,240.0,MONTH50REBATE,operations,1.0,,5.0,Jamie3 Smith3,Inbound,0.0,Qualified,4.0,,7.0,VirtualMeetups,Yes,1.0,Jacksonville,9.0,True,1.0,0.0
5mm6gtlz,Corporate Events,1.0,Closed Won,2020-09-26,2020-09-26,240.0,MONTH50REBATE,quality of delivery,2.0,,4.0,Bailey4 Thompson8,Outbound,1.0,Qualified,4.0,,2.0,,Yes,1.0,,2.0,True,1.0,0.0
wwlwly64,Corporate Events,1.0,Closed Won,2019-05-07,2019-12-08,360.0,MONTHSAVE25DEAL,operations,1.0,,4.0,,,0.0,,4.0,,5.0,,,1.0,,2.0,True,1.0,215.0
96urgb5e,Educational Seminars,2.0,Closed Won,2020-09-26,2020-09-26,960.0,BIANNUAL20,operations,1.0,,7.0,Bailey17 Garcia9,Inbound,0.0,Qualified,4.0,,0.0,EducationExpo 2,Yes,1.0,Phoenix,13.0,True,1.0,0.0
288g5d5r,Corporate Events,1.0,Negotiation,2020-10-27,2020-10-27,0.0,,quality of delivery,2.0,,0.0,Reese15 Moore8,Inbound,0.0,Qualified,4.0,,2.0,VirtualMeetups,Yes,1.0,Denver,5.0,False,0.0,0.0
x8ef2uaj,Corporate Events,1.0,Demo 1,2020-10-27,2020-01-26,240.0,DISCOUNT50POWER,financial control,0.0,,7.0,Reese16 Jones9,Inbound,0.0,Qualified,4.0,,0.0,,Yes,1.0,San Jose,17.0,True,1.0,-275.0
,Corporate Events,1.0,Demo 1,2019-12-14,2020-01-26,1306.6141540601634,,quality of delivery,2.0,,4.0,,,0.0,,4.0,,2.0,,,1.0,,15.0,False,0.0,43.0
mjlorftl,Educational Seminars,2.0,Closed Won,2020-04-26,2020-04-26,200.0,25GIFT,operations,1.0,,4.0,,,0.0,,4.0,,5.0,,,1.0,,2.0,True,1.0,0.0
3ok0nd9d,Educational Seminars,2.0,Closed Won,2020-02-25,2020-09-26,324.0,SLASH10,financial control,0.0,,4.0,Riley2 White10,Outbound,1.0,Qualified,4.0,,2.0,,Yes,1.0,,16.0,True,1.0,214.0
60cv8ar4,,1.0,Demo 1,2019-10-06,2020-01-26,1306.6141540601634,,quality of delivery,2.0,,4.0,Riley1 Wilson8,Outbound,1.0,Qualified,4.0,,2.0,EducationExpo 2,Yes,1.0,Washington,19.0,False,0.0,112.0
xihkl4rn,Corporate Events,1.0,Negotiation,2019-12-08,2019-12-08,960.0,BIANNUAL20,operations,1.0,,4.0,Bailey12 Davis20,Outbound,1.0,Qualified,4.0,,5.0,,Yes,1.0,Phoenix,13.0,True,1.0,0.0
50pqgevs,Corporate Events,1.0,Demo 1,2019-12-15,2020-01-26,1306.6141540601634,,operations,1.0,,4.0,Devon6 Thomas4,Outbound,1.0,Qualified,4.0,,4.0,,Yes,1.0,,16.0,False,0.0,42.0
8aoo5aif,Educational Seminars,2.0,Closed Lost,2019-11-23,2019-11-23,0.0,,operations,1.0,no product fit,3.0,Skyler6 Thomas17,Outbound,1.0,Qualified,4.0,,1.0,ArtFair,Yes,1.0,Denver,5.0,False,0.0,0.0
7vhju4cb,Corporate Events,1.0,Negotiation,2019-01-07,2019-02-07,768.0,2SEMESTERS20OFF,operations,1.0,,4.0,Frankie1 Williams20,Inbound,0.0,Qualified,4.0,,5.0,EducationExpo 2,Yes,1.0,Indianapolis,8.0,True,1.0,31.0
6vxmhio9,Educational Seminars,2.0,Negotiation,2020-04-26,2020-04-26,1008.0,RENEWYEAR30,,1.0,,4.0,Skyler6 Thompson16,Outbound,1.0,Qualified,4.0,,4.0,FestivalFever,Yes,1.0,Chicago,2.0,True,1.0,0.0
7rg2xgw6,Corporate Events,1.0,Closed Won,2019-11-25,2019-12-14,300.0,MONTH50CUTBACK,operations,1.0,,1.0,Avery12 Jones12,Inbound,0.0,Qualified,4.0,,6.0,VirtualMeetups,Yes,1.0,San Francisco,16.0,True,1.0,19.0
5n6xlvze,Corporate Events,1.0,Negotiation,2020-03-27,2020-03-27,360.0,SAVE25LESS,operations,1.0,,4.0,Charlie15 White1,Inbound,0.0,Qualified,4.0,,5.0,VirtualMeetups,Yes,1.0,,2.0,True,1.0,0.0
8yg2ktyb,Sports Events,3.0,Closed Won,2019-12-23,2019-12-23,300.0,SAVEMORE50,financial control,0.0,,0.0,,,0.0,,4.0,,5.0,,,1.0,,2.0,True,1.0,0.0
e8m66cn7,Corporate Events,1.0,Negotiation,2020-09-26,2020-09-26,0.0,,financial control,0.0,,4.0,Riley18 Taylor7,Inbound,0.0,Qualified,4.0,,4.0,EducationExpo 2,Yes,1.0,,2.0,False,0.0,0.0
jvcxt0hx,Educational Seminars,2.0,Negotiation,2019-11-11,2019-11-11,300.0,SAVEMORE50,financial control,0.0,,7.0,Reese8 Jackson8,Outbound,1.0,Qualified,4.0,,1.0,EducationExpo,Yes,1.0,Los Angeles,10.0,True,1.0,0.0
otiyixnh,Educational Seminars,2.0,Closed Lost,2019-11-12,2019-11-23,0.0,,financial control,0.0,no response,4.0,Rowan4 Davis3,Outbound,1.0,Qualified,4.0,,4.0,,Yes,1.0,Fort Worth,6.0,False,0.0,11.0
,Wedding Planning,4.0,Closed Lost,2019-11-24,2019-12-21,1306.6141540601634,,,0.0,no budget,1.0,,,1.0,,4.0,,4.0,,,1.0,,2.0,False,0.0,27.0
,Educational Seminars,2.0,Demo 1,2019-07-07,2020-01-26,1306.6141540601634,,financial control,0.0,,4.0,,,0.0,,4.0,,5.0,,,1.0,,16.0,False,0.0,203.0
n7xyxn9h,Corporate Events,1.0,Closed Won,2020-02-25,2020-02-25,240.0,MONTH50REBATE,operations,1.0,,4.0,Morgan6 Anderson12,Inbound,0.0,Qualified,4.0,,5.0,Follow-up: digital guide 2,Yes,1.0,Columbus,3.0,True,1.0,0.0
eyjw9ydu,Educational Seminars,2.0,Closed Won,2020-03-27,2020-03-27,120.0,NOCOSTREG,,0.0,,1.0,,Outbound,1.0,Qualified,4.0,,2.0,,Yes,1.0,Washington,19.0,True,1.0,0.0
0otwjac7,Corporate Events,1.0,Closed Won,2020-08-27,2020-08-27,14876.0,QUARTERLY75OFF,,1.0,,4.0,,,0.0,,4.0,,5.0,,,1.0,,2.0,True,1.0,0.0
4d83bs7p,Corporate Events,1.0,Closed Won,2020-08-27,2020-08-27,240.0,MONTH50REBATE,financial control,0.0,,4.0,,,0.0,,4.0,,4.0,,,1.0,,2.0,True,1.0,0.0
f1jiny0o,Corporate Events,1.0,Closed Lost,2020-09-26,2020-09-26,200.0,,operations,1.0,no product fit,3.0,Peyton14 Williams11,Inbound,0.0,Qualified,4.0,,3.0,,Yes,1.0,Chicago,2.0,False,0.0,0.0
bwrx3ael,Sports Events,3.0,Closed Won,2019-07-06,2019-07-06,240.0,SAVEMONTH50G,operations,1.0,,4.0,Casey8 Jackson4,Inbound,0.0,Qualified,4.0,,5.0,Corporate Connect,Yes,1.0,Chicago,2.0,True,1.0,0.0
ga5x5ohc,Corporate Events,1.0,Closed Won,2019-11-16,2019-11-16,576.0,2SEMESTERS20SALE,quality of delivery,2.0,,4.0,,,0.0,,4.0,,2.0,,,1.0,,2.0,True,1.0,0.0
194gbb0w,Educational Seminars,2.0,Closed Lost,2019-11-20,2019-11-20,200.0,,,1.0,lost to competitor,0.0,Jamie12 Harris13,Outbound,1.0,Qualified,4.0,,4.0,EducationExpo,Yes,1.0,,16.0,False,0.0,0.0
,Corporate Events,1.0,Closed Lost,2019-11-18,2019-11-23,200.0,,operations,1.0,lost to competitor,0.0,,,0.0,,4.0,,6.0,,,1.0,,2.0,False,0.0,5.0
81a73dzr,Corporate Events,1.0,Closed Lost,2019-11-20,2019-11-20,576.0,2SEMESTERS20SALE,operations,1.0,not target,5.0,Casey3 Garcia16,Outbound,1.0,Qualified,4.0,,1.0,EducationExpo 2,Yes,1.0,Chicago,2.0,True,1.0,0.0
6isqpe81,Corporate Events,1.0,Closed Lost,2019-11-17,2019-11-19,768.0,2SEMESTERS20OFF,quality of delivery,2.0,lost to competitor,0.0,Jamie5 Thompson5,Inbound,0.0,Qualified,4.0,,6.0,VirtualMeetups,Yes,1.0,Seattle,18.0,True,1.0,2.0
n124yb1s,Corporate Events,1.0,Closed Won,2019-11-25,2019-11-25,960.0,ANNUAL60DEAL,,1.0,,4.0,,,0.0,,4.0,,5.0,,,1.0,,2.0,True,1.0,0.0
sfsixfyw,Corporate Events,1.0,Closed Won,2019-02-07,2019-02-07,300.0,MONTH50CUTBACK,quality of delivery,2.0,,0.0,Rowan4 Brown9,Outbound,1.0,Qualified,4.0,,2.0,VirtualMeetups,Yes,1.0,San Francisco,16.0,True,1.0,0.0
zppu8nyk,Corporate Events,1.0,Closed Lost,2019-05-07,2019-07-07,240.0,,quality of delivery,2.0,no response,4.0,Peyton19 Smith16,Inbound,0.0,Qualified,4.0,,2.0,VirtualMeetups,Yes,1.0,San Diego,15.0,False,0.0,61.0
1recnp1e,Corporate Events,1.0,Closed Won,2019-05-07,2019-05-07,768.0,2SEMESTERS20OFF,financial control,0.0,,4.0,Taylor8 Jackson6,Inbound,0.0,Qualified,4.0,,4.0,VirtualMeetups,Yes,1.0,Chicago,2.0,True,1.0,0.0
xtpzigqr,Corporate Events,1.0,Closed Lost,2019-12-08,2019-12-11,1344.0,YEARLY30PROMO,quality of delivery,2.0,not target,5.0,Reese6 Davis16,Outbound,1.0,Qualified,4.0,,2.0,VirtualMeetups,Yes,1.0,Los Angeles,10.0,True,1.0,3.0
iz6uq7fg,Sports Events,3.0,Demo 1,2019-12-09,2020-01-26,1306.6141540601634,,quality of delivery,2.0,,0.0,Riley18 Robinson5,Outbound,1.0,Qualified,4.0,,1.0,,Yes,1.0,,2.0,False,0.0,48.0
feni9v9i,Corporate Events,1.0,Closed Won,2019-12-25,2019-12-25,960.0,ANNUAL60DEAL,operations,1.0,,4.0,Peyton16 Thomas18,Outbound,1.0,Qualified,4.0,,4.0,,Yes,1.0,,2.0,True,1.0,0.0
5nxsvhpy,Corporate Events,1.0,Closed Won,2019-11-10,2019-11-10,324.0,10OFFREDUCED,operations,1.0,,4.0,Casey17 Harris11,Outbound,1.0,Qualified,4.0,,5.0,VirtualMeetups,Yes,1.0,Phoenix,13.0,True,1.0,0.0
dv6tw5nc,Sports Events,3.0,Closed Won,2019-11-16,2019-11-17,1008.0,10OFFREDUCED,operations,1.0,,4.0,,,0.0,,4.0,,5.0,,,1.0,,2.0,True,1.0,1.0
yc6jjubk,Educational Seminars,2.0,Closed Won,2019-11-23,2019-11-24,324.0,SLASH10,operations,1.0,,4.0,Taylor6 Moore2,Outbound,1.0,Qualified,4.0,No show,2.0,Corporate Connect,Yes,1.0,Washington,19.0,True,1.0,1.0
7tq43nwv,Corporate Events,1.0,Closed Won,2019-07-07,2019-07-07,768.0,2SEMESTERS20OFF,operations,1.0,,5.0,Peyton15 White1,Outbound,1.0,Qualified,4.0,,2.0,TradeShow 5,Yes,1.0,San Diego,15.0,True,1.0,0.0
p86gp515,Corporate Events,1.0,Closed Won,2019-11-19,2019-11-19,720.0,4SEMESTERS40DEAL,operations,1.0,,5.0,Harper15 Harris20,Inbound,0.0,Qualified,4.0,,7.0,EducationExpo 2,Yes,1.0,Jacksonville,9.0,True,1.0,0.0
nm5k3jtx,Corporate Events,1.0,Closed Lost,2019-12-08,2019-12-09,0.0,,operations,1.0,lost to competitor,0.0,Rowan12 Robinson18,Inbound,0.0,Qualified,4.0,,6.0,TradeShow 5,Yes,1.0,Charlotte,1.0,False,0.0,1.0
ri0x1wzk,Corporate Events,1.0,Closed Won,2019-12-14,2019-12-14,768.0,2SEMESTERS20OFF,operations,1.0,,4.0,Charlie3 Thompson13,Inbound,0.0,Qualified,4.0,,5.0,EducationExpo,Yes,1.0,,2.0,True,1.0,0.0
6exqr5v3,Educational Seminars,2.0,Closed Lost,2019-12-15,2019-12-25,8014.0,YEARLONG75BONUS,operations,1.0,no response,4.0,Morgan14 Johnson1,Inbound,0.0,Qualified,4.0,,5.0,VirtualMeetups,Yes,1.0,,2.0,True,1.0,10.0
